#    data from: http://www.heweather.com/documents/cn-city-list
#
#        #!/usr/bin/env python
#        # -*- coding: utf-8 -*-
#
#        import itertools
#        import pypinyin
#        from pypinyin import pinyin
#
#
#        with open('city.data') as f:
#            for line in f:
#                line = line.strip().decode('utf-8')
#                (_id, county, ccounty, city, province) = line.split(' ')
#                k = pinyin(ccounty, style=pypinyin.NORMAL, heteronym=True)
#                abbr = None
#                for t in itertools.product(*k):
#                    py = "".join(t)
#                    if py == county:
#                        abbr = "".join([x[0] for x in t])
#                        break
#                abbr = (abbr is None and ['---'] or [abbr])[0]
#
#                data = _id, abbr, county, ccounty, city, province #                print " ".join(data).encode('utf-8')
CN101070502 bxx benxixian 本溪县 本溪 辽宁
CN101070504 hr huanren 桓仁 本溪 辽宁
CN101070601 dd dandong 丹东 丹东 辽宁
CN101070602 fc fengcheng 凤城 丹东 辽宁
CN101070603 kd kuandian 宽甸 丹东 辽宁
CN101070604 dg donggang 东港 丹东 辽宁
CN101070701 jz jinzhou 锦州 锦州 辽宁
CN101070702 lh linghai 凌海 锦州 辽宁
CN101070704 yx yixian 义县 锦州 辽宁
CN101070705 hs heishan 黑山 锦州 辽宁
CN101070706 bz beizhen 北镇 锦州 辽宁
CN101070801 yk yingkou 营口 营口 辽宁
CN101070802 dsq dashiqiao 大石桥 营口 辽宁
CN101070803 gz gaizhou 盖州 营口 辽宁
CN101070901 fx fuxin 阜新 阜新 辽宁
CN101070902 zw zhangwu 彰武 阜新 辽宁
CN101071001 ly liaoyang 辽阳 辽阳 辽宁
CN101071002 lyx liaoyangxian 辽阳县 辽阳 辽宁
CN101071003 dt dengta 灯塔 辽阳 辽宁
CN101071004 gcl gongchangling 弓长岭 辽阳 辽宁
CN101071101 tl tieling 铁岭 铁岭 辽宁
CN101071102 ky kaiyuan 开原 铁岭 辽宁
CN101071103 ct changtu 昌图 铁岭 辽宁
CN101071104 xf xifeng 西丰 铁岭 辽宁
CN101071105 dbs diaobingshan 调兵山 铁岭 辽宁
CN101071201 cy chaoyang 朝阳 朝阳 辽宁
CN101071203 ly lingyuan 凌源 朝阳 辽宁
CN101071204 kz kazuo 喀左 朝阳 辽宁
CN101071205 bp beipiao 北票 朝阳 辽宁
CN101071207 jpx jianpingxian 建平县 朝阳 辽宁
CN101071301 pj panjin 盘锦 盘锦 辽宁
CN101071302 dw dawa 大洼 盘锦 辽宁
CN101071303 ps panshan 盘山 盘锦 辽宁
CN101071401 hld huludao 葫芦岛 葫芦岛 辽宁
CN101071402 jc jianchang 建昌 葫芦岛 辽宁
CN101071403 sz suizhong 绥中 葫芦岛 辽宁
CN101071404 xc xingcheng 兴城 葫芦岛 辽宁
CN101080101 hhht huhehaote 呼和浩特 呼和浩特 内蒙古
CN101080102 tzq tuzuoqi 土左旗 呼和浩特 内蒙古
CN101080103 tx tuoxian 托县 呼和浩特 内蒙古
CN101080104 hl helin 和林 呼和浩特 内蒙古
CN101080105 qsh qingshuihe 清水河 呼和浩特 内蒙古
CN101080106 hsjq hushijiaoqu 呼市郊区 呼和浩特 内蒙古
CN101080107 wc wuchuan 武川 呼和浩特 内蒙古
CN101080201 bt baotou 包头 包头 内蒙古
CN101080202 byeb baiyunebo 白云鄂博 包头 内蒙古
CN101080203 mdl mandula 满都拉 包头 内蒙古
CN101080204 tyq tuyouqi 土右旗 包头 内蒙古
CN101080205 gy guyang 固阳 包头 内蒙古
CN101080206 dmq damaoqi 达茂旗 包头 内蒙古
CN101080207 xlmr xilamuren 希拉穆仁 包头 内蒙古
CN101080301 wh wuhai 乌海 乌海 内蒙古
CN101080401 jn jining 集宁 乌兰察布 内蒙古
CN101080402 zz zhuozi 卓资 乌兰察布 内蒙古
CN101080403 hd huade 化德 乌兰察布 内蒙古
CN101080404 sd shangdu 商都 乌兰察布 内蒙古
CN101080406 xh xinghe 兴和 乌兰察布 内蒙古
CN101080407 lc liangcheng 凉城 乌兰察布 内蒙古
CN101080408 cyqq chayouqianqi 察右前旗 乌兰察布 内蒙古
CN101080409 cyzq chayouzhongqi 察右中旗 乌兰察布 内蒙古
CN101080410 cyhq chayouhouqi 察右后旗 乌兰察布 内蒙古
CN101080411 szwq siziwangqi 四子王旗 乌兰察布 内蒙古
CN101080412 fz fengzhen 丰镇 乌兰察布 内蒙古
CN101080501 tl tongliao 通辽 通辽 内蒙古
CN101080502 sbt shebotu 舍伯吐 通辽 内蒙古
CN101080503 kzzq kezuozhongqi 科左中旗 通辽 内蒙古
